genero,id
Acción,2
Acción,3
Acción,12
Acción,13
Acción,19
Acción,20
Comedia,1
Comedia,4
Comedia,8
Comedia,5
Comedia,14
Comedia,16
Comedia,15
Comedia,18
Drama,3
Drama,10
Drama,13
Drama,14
Drama,19
Drama,15
Aventura,2
Aventura,3
Aventura,9
Aventura,12
Aventura,13
Aventura,19
Aventura,20
Ciencia Ficción,9
Ciencia Ficción,12
Ciencia Ficción,13
Ciencia Ficción,15
Fantasía,12
Fantasía,19
Suspense,3
Suspense,10
Suspense,13
Suspense,14
Suspense,15
Terror,2
Terror,7
Terror,14
Animación,7
Animación,9
Animación,11
Animación,18
Romance,8
Romance,14
